District,Town,County,Member,Party,Email,Phone,Committees
91,Turner,Androscoggin County,Joshua K. Morris,R,Joshua.Morris@legislature.maine.gov,207-287-1400,"Elections (Ranking Member); Health Coverage, Insurance and Financial Services (Member)"
8,Twombly Ridge Township,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
44,Union,Knox County,William D. Pluecker,I,Bill.Pluecker@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Chair); Engrossed Bills (Member)"
38,Unity,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
63,Unity Township,Kennebec County,Paul R. Flynn,R,Paul.Flynn@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
73,Upton,Oxford County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
2,Van Buren,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
8,Vanceboro,Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
61,Vassalboro,Kennebec County,Alicia Collins,R,Alicia.Collins@legislature.maine.gov,207-287-1400,Labor (Member); Leaves of Absence (Member)
24,Veazie,Penobscot County,Sean Faircloth,D,Sean.Faircloth@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
17,Verona Island,Hancock County,Steven M. Bishop,R,Steven.Bishop@legislature.maine.gov,207-287-1400,Transportation (Member)
58,Vienna,Kennebec County,Sharon C. Frost,U,Sharon.Frost@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Veterans and Legal Affairs (Member)"
15,Vinalhaven,Knox County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
4,Wade,Aroostook County,Timothy C. Guerrette,R,Timothy.Guerrette@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Ranking Member)"
8,Waite,Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
38,Waldo,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
45,Waldoboro,Lincoln County,Abden S. Simmons,R,Abden.Simmons@legislature.maine.gov,207-287-1400,Marine Resources (Member)
56,Wales,Androscoggin County,Randall Adam Greenwood,R,Randall.Greenwood@legislature.maine.gov,207-287-1400,State and Local Government (Ranking Member)
1,Wallagrass,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
13,Waltham,Hancock County,Russell P. White,R,Russell.White@legislature.maine.gov,207-287-1400,Taxation (Member)
44,Warren,Knox County,William D. Pluecker,I,Bill.Pluecker@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Chair); Engrossed Bills (Member)"
4,Washburn,Aroostook County,Timothy C. Guerrette,R,Timothy.Guerrette@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Ranking Member)"
45,Washington,Knox County,Abden S. Simmons,R,Abden.Simmons@legislature.maine.gov,207-287-1400,Marine Resources (Member)
136,Waterboro (Part),York County,John M. Eder,R,John.Eder@legislature.maine.gov,207-287-1400,Government Oversight Committee (Member); Housing and Economic Development (Member)
139,Waterboro (Part),York County,David C. Woodsome,R,David.Woodsome@legislature.maine.gov,207-287-1400,Leaves of Absence (Ranking Member); Environment and Natural Resources (Member); Inland Fisheries and Wildlife (Member)
81,Waterford,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
64,Waterville (Part),Kennebec County,Flavia M. DeBrito,D,Flavia.DeBrito@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
65,Waterville (Part),Kennebec County,Cassie Lynn Julia,D,Cassie.Julia@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member); Leaves of Absence (Member)
91,Wayne,Kennebec County,Joshua K. Morris,R,Joshua.Morris@legislature.maine.gov,207-287-1400,"Elections (Ranking Member); Health Coverage, Insurance and Financial Services (Member)"
8,Webster,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
74,Weld,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
30,Wellington,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
146,Wells (Part),York County,Walter Gerard Runte Jr.,D,Gerry.Runte@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Leaves of Absence (Member)"
145,Wells (Part),York County,Robert A. Foley,R,Robert.Foley@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Ranking Member)"
10,Wesley,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
49,West Bath,Sagadahoc County,Allison Hepler,D,Allison.Hepler@legislature.maine.gov,207-287-1400,"Marine Resources (Chair); Agriculture, Conservation and Forestry (Member)"
73,West Central Franklin,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
73,West Forks,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
55,West Gardiner,Kennebec County,Daniel Joseph Shagoury,D,Daniel.Shagoury@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
79,West Paris,Oxford County,Michael J. Lance,R,Michael.Lance@legislature.maine.gov,207-287-1400,Inland Fisheries and Wildlife (Member)
126,Westbrook (Part),Cumberland County,Drew Gattine,D,Andrew.Gattine@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Chair)
127,Westbrook (Part),Cumberland County,Morgan J. Rielly,D,Morgan.Rielly@legislature.maine.gov,207-287-1400,Engrossed Bills (Chair); Environment and Natural Resources (Member); Marine Resources (Member)
128,Westbrook (Part),Cumberland County,Suzanne M. Salisbury,D,Suzanne.Salisbury@legislature.maine.gov,207-287-1400,State and Local Government (Chair); Elections (Member)
6,Westfield,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
3,Westmanland,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
8,Weston,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
48,Westport Island,Lincoln County,Holly B. Stover,D,Holly.Stover@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Ethics (Member); Government Oversight Committee (Member)
47,Whitefield,Lincoln County,Wayne K. Farrin,D,Wayne.Farrin@legislature.maine.gov,207-287-1400,Marine Resources (Member); State and Local Government (Member)
10,Whiting,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
8,Whitney (Pukakon) Township,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
11,Whitneyville,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
30,Willimantic,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
74,Wilton,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
106,Windham (Part),Cumberland County,Barbara A. Bagshaw,R,Barbara.Bagshaw@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
107,Windham (Part),Cumberland County,Mark C. Cooper,R,Mark.Cooper@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member)"
62,Windsor,Kennebec County,Katrina J. Smith,R,Katrina.Smith@legislature.maine.gov,207-287-1400,Ethics (Member); Joint Select Committee on Joint Rules (Member); Rules and Business of the House (Member)
28,Winn,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
64,Winslow (Part),Kennebec County,Flavia M. DeBrito,D,Flavia.DeBrito@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
63,Winslow (Part),Kennebec County,Paul R. Flynn,R,Paul.Flynn@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
12,Winter Harbor,Hancock County,Billy Bob Faulkingham,R,William.Faulkingham@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Ranking Member)
37,Winterport,Waldo County,Reagan L. Paul,R,Reagan.Paul@legislature.maine.gov,207-287-1400,"Elections (Member); Energy, Utilities and Technology (Member)"
1,Winterville,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
57,Winthrop,Kennebec County,Tavis Rock Hasenfus,D,Tavis.Hasenfus@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Chair); Ethics (Member)
47,Wiscasset,Lincoln County,Wayne K. Farrin,D,Wayne.Farrin@legislature.maine.gov,207-287-1400,Marine Resources (Member); State and Local Government (Member)
3,Woodland,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
79,Woodstock,Oxford County,Michael J. Lance,R,Michael.Lance@legislature.maine.gov,207-287-1400,Inland Fisheries and Wildlife (Member)
49,Woolwich,Sagadahoc County,Allison Hepler,D,Allison.Hepler@legislature.maine.gov,207-287-1400,"Marine Resources (Chair); Agriculture, Conservation and Forestry (Member)"
73,Wyman Township,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
103,Yarmouth,Cumberland County,Arthur L. Bell,D,Arthur.Bell@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
146,York (Part),York County,Walter Gerard Runte Jr.,D,Gerry.Runte@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Leaves of Absence (Member)"
147,York (Part),York County,Holly T. Sargent,D,Holly.Sargent@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member); Joint Select Committee on Joint Rules (Member)
